Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
21,12943829,yoyo,"2024-11-25 01:23:18",0.41119,10,josieuoft
22,12956736,"Sachin Chhikara","2024-11-21 02:23:24",0.41224,7,sachinchhikara2
23,12932863,Pistachio,"2024-11-24 02:06:28",0.41383,3,"yawen12345,zhengyanchen"
24,12969259,iukoi77,"2024-11-20 19:11:33",0.41482,1,"jiayiling2002,ziqiliu0194"
25,12932487,Qy,"2024-11-25 03:17:44",0.41533,6,qingyangy
26,12968292,MD,"2024-11-20 03:19:54",0.41580,2,marcusdamiani
27,12989417,Pepsi,"2024-11-24 16:08:03",0.41584,2,"fayesun0304,xiaobaobiao888"
28,12931699,"Triple AAA","2024-11-24 21:26:31",0.41603,13,"aliagharezakashi,andrejvesovicc,giglio11"
29,12931269,DKK,"2024-11-25 01:40:36",0.41661,9,"diptanshuchaudhari,khoigiaho,lolitskairui"
30,12937412,"Nabil Zainuri","2024-11-14 02:39:03",0.41678,4,nabilzainuri
31,12931201,ym,"2024-11-19 01:40:01",0.41809,6,brianz000
32,12948183,"Nai Long","2024-11-16 21:42:15",0.41860,1,"del=66607f4e535ac5c7,truedesire,zhixiqu"
33,12931420,HaoboWang@UTM,"2024-11-21 00:00:44",0.41907,15,haobowangutm
34,12930750,ZZZ648,"2024-11-24 07:08:34",0.41919,7,nicoleraiden
35,12926652,"DM for Boosting","2024-11-24 18:42:19",0.42065,6,"danielcowley,tonysun11,yzldaniel"
36,12977594,"Francisco Jose Pestana","2024-11-24 03:08:27",0.42080,5,franciscojosepestana
37,12957902,12138,"2024-11-21 14:40:49",0.42309,8,"f12138,mingruiyang18,qinhuihuang"
38,12944047,"Haoran Wu02","2024-11-24 22:54:47",0.42681,2,haoranwu02
39,12926969,"Yvonne T","2024-11-25 02:10:40",0.42691,2,yvonnet1
0,12926548,Benchmark4.csv,"2024-11-12 04:24:46",0.42766,1,
40,12941214,"Zaibatsu Shadow Guild","2024-11-25 02:37:25",0.42861,8,zhizhangma
41,12930346,jaclynyt318,"2024-11-24 18:42:59",0.42911,7,"jacquelineni,zhekaiyu178"
42,12969172,Mazzomil,"2024-11-25 02:10:59",0.43492,2,"sultaanm,vincenzomazzolini"
43,12937524,EW,"2024-11-21 21:01:52",0.43594,4,emilywen1
44,12931368,PBc,"2024-11-23 01:12:05",0.43994,16,xianshengttb
45,12998601,Lewis_YL,"2024-11-24 21:33:44",0.44577,2,lewisyl
46,12958380,"Yang Liu YLL","2024-11-24 21:45:15",0.44577,1,utmpassword123
47,12931445,234987,"2024-11-22 04:09:06",0.44983,8,chryllam
48,12977526,LJC,"2024-11-22 19:15:46",0.45897,4,luojiachen
49,12983977,"zhanteng zhang","2024-11-23 23:35:43",0.49393,1,zhantengzhang
50,12969864,"Kean Chen6","2024-11-24 05:16:19",0.50425,3,keanchen6
51,12976217,jackyyy,"2024-11-25 02:12:01",0.50743,4,liuziyi100
52,12969848,Karaage,"2024-11-24 04:56:17",0.51555,2,yoshiyukisanada
0,12926547,Benchmark3.csv,"2024-11-12 04:09:14",0.51745,1,
53,12931574,"Zerui Yao","2024-11-16 22:08:01",0.51906,2,zeruiyao
54,12931372,gege,"2024-11-25 02:36:27",0.51909,11,"guandaqiu,weijiazhu"
55,12971156,VAL,"2024-11-21 09:00:32",0.53561,1,asjl04
56,12929760,Quasar,"2024-11-24 21:54:14",0.54646,7,myusufshaikh
57,12951918,SoloLeveling,"2024-11-25 00:26:07",0.58974,1,jchen2397239
58,12931375,geruhan,"2024-11-24 03:33:30",0.73738,2,"geruhan,yujielunawang"
0,12926545,Benchmark1.csv,"2024-11-12 04:07:12",0.74694,1,
59,12937008,daidai,"2024-11-21 16:00:55",1.05546,11,daidai929
0,12926543,Benchmark0.csv,"2024-11-12 04:01:28",1.06572,1,
